Identifier,Percent,BST,Equal,Insert Tree,Search Tree,Search Item,Delete Tree,Size,Depth,Parent,Max,Delete,AVL,AVL2,Extra,A&DS,Testing,Style
Participant 13126710,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126716,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126576,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126702,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 4.35% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 31.77% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126719,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 27.62% of everyone;,You are at the top 37.58% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126698,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126688,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 27.62% of everyone;,You are at the top 37.58% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126587,No data available;,You are at the top 30.39% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 6.83% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126617,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 47.79% of everyone;,You are at the top 73.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126693,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 27.62% of everyone;,You are at the top 37.58% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126563,No data available;,You are at the top 30.39% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 10.25% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126680,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126622,No data available;,You are at the top 30.39% of everyone;,You are at the top 10.87% of everyone;,You are at the top 2.17% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126537,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 39.78% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126538,No data available;,You are at the top 19.61% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 6.83% of everyone;,You are at the top 5.28% of everyone;,You are at the top 4.97% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126549,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126634,No data available;,You are at the top 19.61% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 3.11% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 2.48% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126684,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126670,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 5.28% of everyone;,You are at the top 14.29% of everyone;,You are at the top 71.43% of everyone;,You are at the top 29.83% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126612,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126605,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 10.25% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 6.21% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126667,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 29.83% of everyone;,You are at the top 73.29% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126533,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 99.38% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126585,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 10.25% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126602,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126642,No data available;,You are at the top 19.61% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 5.59% of everyone;,You are at the top 4.97% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126557,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 58.29% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126588,No data available;,You are at the top 22.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 49.72% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126637,No data available;,You are at the top 76.52% of everyone;,You are at the top 96.27% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126558,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 6.83% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126615,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 3.11% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 29.83% of everyone;,You are at the top 73.29% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126623,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 3.11% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 27.62% of everyone;,You are at the top 37.58% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126603,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126673,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126542,No data available;,You are at the top 26.24% of everyone;,You are at the top 10.87% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 9.63% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 47.79% of everyone;,You are at the top 22.98% of everyone;,You are at the top 46.58% of everyone;,You are at the top 36.34% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126552,No data available;,You are at the top 34.81% of everyone;,You are at the top 10.87% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 6.21% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126692,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 7.45% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126656,No data available;,You are at the top 43.65% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126625,No data available;,You are at the top 17.4% of everyone;,You are at the top 10.87% of everyone;,You are at the top 12.73% of everyone;,You are at the top 8.07% of everyone;,You are at the top 8.39% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 10.25% of everyone;,You are at the top 47.79% of everyone;,You are at the top 37.58% of everyone;,You are at the top 27.95% of everyone;,You are at the top 49.69% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126649,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 5.28% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 2.48% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126694,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126540,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 7.45% of everyone;,You are at the top 67.39% of everyone;,You are at the top 8.39% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126532,No data available;,You are at the top 22.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 9.63% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 4.97% of everyone;,You are at the top 27.95% of everyone;,You are at the top 12.98% of everyone;,You are at the top 8.39% of everyone;,You are at the top 10.56% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126546,No data available;,You are at the top 22.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 30.94% of everyone;,You are at the top 37.58% of everyone;,You are at the top 27.95% of everyone;,You are at the top 15.22% of everyone;,You are at the top 15.22% of everyone;,You are at the top 43.37% of everyone;
Participant 13126560,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 12.73% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126704,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126607,No data available;,You are at the top 17.4% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 3.11% of everyone;,You are at the top 6.21% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 10.25% of everyone;,You are at the top 47.79% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
Participant 13126566,No data available;,You are at the top 21.27% of everyone;,You are at the top 54.04% of everyone;,You are at the top 5.28% of everyone;,You are at the top 8.07% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 43.37% of everyone;
